model,n_valid_runs,avg_accuracy,avg_precision,avg_recall,avg_f1,best_run_index,best_run_accuracy,best_run_precision,best_run_recall,best_run_f1
Decision Tree,10,0.8515533443891654,0.8468214343921192,0.8515533443891654,0.8475248337900604,1,0.8582642343836374,0.8533993837536961,0.8582642343836374,0.8547106176079654
KNN,10,0.788988391376451,0.7722162755423962,0.788988391376451,0.7517105210021833,4,0.7959093421779989,0.7818136766127595,0.7959093421779989,0.7612708582018205
Naive Bayes,10,0.7780541735765617,0.7536935690918742,0.7780541735765617,0.7375632886066159,4,0.7818684355997789,0.7588033498865304,0.7818684355997789,0.7433925674402666
Random Forest,10,0.8611166390270867,0.8559378667036928,0.8611166390270867,0.8563533348531717,6,0.8652294085129906,0.8605090658405824,0.8652294085129906,0.8612570042235039
