run,model,accuracy,precision,recall,f1,n_train,n_test
1,Decision Tree,0.8582642343836374,0.8533993837536961,0.8582642343836374,0.8547106176079654,36177,9045
1,KNN,0.794914317302377,0.7789465250423653,0.794914317302377,0.7577456236131441,36177,9045
1,Naive Bayes,0.7824212271973466,0.7576189992803676,0.7824212271973466,0.7412592460710656,36177,9045
1,Random Forest,0.8656716417910447,0.8605153461331493,0.8656716417910447,0.8609462744740812,36177,9045
2,Decision Tree,0.8515201768933113,0.8470294024227384,0.8515201768933113,0.8484667793729885,36177,9045
2,KNN,0.7838584853510226,0.763001416766491,0.7838584853510226,0.7464458588174023,36177,9045
2,Naive Bayes,0.7749032614704257,0.7483675853601924,0.7749032614704257,0.7327370695859862,36177,9045
2,Random Forest,0.8603648424543947,0.8550245427368112,0.8603648424543947,0.8554138256453196,36177,9045
3,Decision Tree,0.8454394693200663,0.8405055101337172,0.8454394693200663,0.8420629212986576,36177,9045
3,KNN,0.7815367606412382,0.7603608573907507,0.7815367606412382,0.7434906592277947,36177,9045
3,Naive Bayes,0.7730237700386954,0.7462001453758923,0.7730237700386954,0.7313197106299885,36177,9045
3,Random Forest,0.8536207849640686,0.8475362992571395,0.8536207849640686,0.8473999248322965,36177,9045
4,Decision Tree,0.848424543946932,0.8444323786730599,0.848424543946932,0.845900289937588,36177,9045
4,KNN,0.7959093421779989,0.7818136766127595,0.7959093421779989,0.7612708582018205,36177,9045
4,Naive Bayes,0.7818684355997789,0.7588033498865304,0.7818684355997789,0.7433925674402666,36177,9045
4,Random Forest,0.8580431177446103,0.8528057348086749,0.8580431177446103,0.8537927660567809,36177,9045
5,Decision Tree,0.8515201768933113,0.846244634965492,0.8515201768933113,0.8418535829645308,36177,9045
5,KNN,0.7888336097291321,0.7765259371803296,0.7888336097291321,0.7503663547417723,36177,9045
5,Naive Bayes,0.7763405196241017,0.7545691355695757,0.7763405196241017,0.7353690913625637,36177,9045
5,Random Forest,0.8581536760641238,0.8529912701189594,0.8581536760641238,0.8534870343908559,36177,9045
6,Decision Tree,0.8515201768933113,0.8483188007678966,0.8515201768933113,0.8495879990302524,36177,9045
6,KNN,0.7883913764510779,0.7698074621727657,0.7883913764510779,0.7512505153587421,36177,9045
6,Naive Bayes,0.7786622443338861,0.753822153949859,0.7786622443338861,0.7372296843877164,36177,9045
6,Random Forest,0.8652294085129906,0.8605090658405824,0.8652294085129906,0.8612570042235039,36177,9045
7,Decision Tree,0.8500829187396352,0.8457978621783193,0.8500829187396352,0.8472337567709202,36177,9045
7,KNN,0.7909342177998895,0.7762694670042807,0.7909342177998895,0.7545358434189597,36177,9045
7,Naive Bayes,0.780873410724157,0.7593682953359785,0.780873410724157,0.7421499150541164,36177,9045
7,Random Forest,0.8627971254836927,0.8580603318339697,0.8627971254836927,0.8588166317561736,36177,9045
8,Decision Tree,0.8538419016030956,0.8488371850790327,0.8538419016030956,0.8502204427712956,36177,9045
8,KNN,0.7939192924267551,0.778061986175809,0.7939192924267551,0.7583649491205544,36177,9045
8,Naive Bayes,0.7816473189607518,0.7577053058132011,0.7816473189607518,0.7426783721366688,36177,9045
8,Random Forest,0.8625760088446656,0.8574876631094148,0.8625760088446656,0.8582229610819259,36177,9045
9,Decision Tree,0.8516307352128247,0.8463590796443388,0.8516307352128247,0.8476213748200541,36177,9045
9,KNN,0.7887230514096186,0.7742464879117327,0.7887230514096186,0.749518131669583,36177,9045
9,Naive Bayes,0.7745715865118851,0.748938967898049,0.7745715865118851,0.7328348877138786,36177,9045
9,Random Forest,0.862244333886125,0.8571578023241394,0.862244333886125,0.8574283707785441,36177,9045
10,Decision Tree,0.8532891100055279,0.8472901063029,0.8532891100055279,0.8475905733263507,36177,9045
10,KNN,0.7828634604754008,0.763128939166678,0.7828634604754008,0.7441164158520598,36177,9045
10,Naive Bayes,0.7762299613045882,0.7515417524490962,0.7762299613045882,0.7366623416839087,36177,9045
10,Random Forest,0.862465450525152,0.8572906108740874,0.862465450525152,0.8567685552922357,36177,9045
    
